country,date,GDP,GDP_per_capita,Urban_pop_pct
Brazil,2023-01-01,2191131869706.02,10377.5897719195,87.6159710235763
Brazil,2022-01-01,1951923832083.87,9281.33282136864,87.349556243881
Brazil,2021-01-01,1670647464062.96,7972.53696080695,87.1360781715439
Brazil,2020-01-01,1476107292151.95,7074.19407495707,86.9112186503004
Brazil,2019-01-01,1873288158838.63,9029.83304401079,86.6797991084296
Brazil,2018-01-01,1916933708352.71,9300.66072904004,86.4420719945072
Brazil,2017-01-01,2063514688805.78,10080.5078722821,86.1982897571091
Brazil,2016-01-01,1795693265999.04,8836.28546025694,85.9487048448108
Brazil,2015-01-01,1802211999456.42,8936.1955889444,85.6935697061881
Brazil,2014-01-01,2456043766032.38,12274.9941630213,85.4331367898168
Brazil,2013-01-01,2472819362043.74,12458.8903396625,85.1676585442726
Brazil,2012-01-01,2465228293706.86,12521.7238454434,84.8973874181312
Brazil,2011-01-01,2616156606579.21,13396.6263158041,84.6225758599683
Brazil,2010-01-01,2208838108484.35,11403.2840038694,84.343846036308
Brazil,2009-01-01,1666996294252.12,8678.6584730653,84.0698380333651
Brazil,2008-01-01,1695855391757.96,8908.33338467948,83.8036050557184
China,2023-01-01,18270356654533.2,12951.1782397043,65.5301448035523
China,2022-01-01,18316765021690.2,12970.6056414327,65.2176361083984
China,2021-01-01,18201698719564.0,12887.4357242941,64.721076965332
China,2020-01-01,14996414166715.1,10627.4637989619,63.5234230266258
China,2019-01-01,14560167101283.4,10342.9009524335,62.7099151611328
China,2018-01-01,14147765772963.8,10085.6638148819,61.5001983642578
China,2017-01-01,12537559062282.9,8979.67652709856,60.2402687072754
China,2016-01-01,11456024084962.0,8254.86859320357,58.8399238586426
China,2015-01-01,11280814787468.9,8175.33285077393,57.3297843933105
China,2014-01-01,10674533168257.4,7781.06597484974,55.7502555847168
China,2013-01-01,9743124247267.24,7147.03518622344,54.4900016784668
China,2012-01-01,8673664713189.24,6405.0574241349,53.1003112792969
China,2011-01-01,7671757207851.29,5703.76027973346,51.8300285339355
China,2010-01-01,6192564874453.29,4629.24551710077,49.2340270628041
China,2009-01-01,5189577094997.58,3898.24459158811,48.3417053222656
China,2008-01-01,4667346414521.95,3523.44302065213,46.9895057678223
Germany,2023-01-01,4562207532490.28,54776.7668235491,81.9034366692129
Germany,2022-01-01,4201021706478.62,50506.5179638543,81.7867852780995
Germany,2021-01-01,4355251953410.78,52349.2459994422,81.6325870653934
Germany,2020-01-01,3941398957073.94,47394.8734504469,81.4700055002738
Germany,2019-01-01,3959894794039.21,47656.199739747,81.3053991689039
Germany,2018-01-01,4055433215301.96,48916.1686612154,81.1423036204018
Germany,2017-01-01,3765351626105.89,45553.9341495339,80.9842544038853
Germany,2016-01-01,3536787895179.0,42948.9381932694,80.8347870684725
Germany,2015-01-01,3425099578746.09,41929.7549110722,80.6974371632814
Germany,2014-01-01,3964870735760.77,48959.5991203133,80.57574023743
Germany,2013-01-01,3807023797050.99,47206.8353514242,80.4732318400362
Germany,2012-01-01,3596483233406.25,44718.0159214069,80.393447520218
Germany,2011-01-01,3823575803793.78,47630.9761883572,80.3405762928198
Germany,2010-01-01,3467093769666.67,42396.9665976293,80.305702559949
Germany,2009-01-01,3478545516683.59,42471.8868625226,80.2745192417062
Germany,2008-01-01,3808197720125.0,46379.1647953479,80.2459549084581
France,2023-01-01,3056250648138.29,44700.1384177544,78.7804323126547
France,2022-01-01,2794788137066.94,40988.6396406579,78.7591921123356
France,2021-01-01,2966433692008.09,43725.0999521245,78.7364603392338
France,2020-01-01,2647926055110.05,39169.8606000707,78.7119131765249
France,2019-01-01,2722793515171.76,40408.2848574751,78.6890784549356
France,2018-01-01,2781576320884.39,41418.1766484844,78.6714432536599
France,2017-01-01,2588868323334.71,38687.1626407164,78.6467804026368
France,2016-01-01,2470407619777.13,37024.2157133669,78.5999114705779
France,2015-01-01,2442483452642.5,36702.4323733379,77.7610919150066
France,2014-01-01,2861236112552.42,43148.0459288416,77.3524296788613
France,2013-01-01,2816077607875.26,42669.1795111893,77.2440721470918
France,2012-01-01,2683007095787.23,40863.5814412333,77.1669464919916
France,2011-01-01,2870408553990.28,43929.7840873812,77.1182717387509
France,2010-01-01,2646230027988.34,40694.8211697025,77.0962844808803
France,2009-01-01,2700075882518.98,41728.0884164132,77.1005391809676
France,2008-01-01,2926802941585.86,45464.8181385158,77.1561901569367
United Kingdom,2023-01-01,3420796653789.08,49944.4702124201,83.1601932891335
United Kingdom,2022-01-01,3181244350465.41,47057.043229179,83.0753982997505
United Kingdom,2021-01-01,3194559188925.93,47691.3768799404,82.9886431523641
United Kingdom,2020-01-01,2724001478304.59,40812.6794663879,82.9000015258789
United Kingdom,2019-01-01,2875710080015.3,43158.7411267323,82.6699420738913
United Kingdom,2018-01-01,2897028009916.05,43702.9976303165,82.4465657551295
